,from_date,zip_code,offense_society,offense_person,offense_property,offense_other,dv,firearm,offense_total,year,month,quarter,zip,city,population,unemployment_rate,house_price_index,per_cap_income,new_priv_housing
0,2010-01-01,64055,0,0,1,0,0,0,1,2010,1,1,64055,Independence,116792,8.8,165.14,40874,127.0
1,2010-01-01,64101,0,0,4,0,0,0,4,2010,1,1,64101,Kansas City,459946,8.8,165.14,40874,127.0
2,2010-01-01,64102,0,0,1,0,0,0,1,2010,1,1,64102,Kansas City,459946,8.8,165.14,40874,127.0
3,2010-01-01,64105,10,26,81,4,2,3,121,2010,1,1,64105,Kansas City,459946,8.8,165.14,40874,127.0
4,2010-01-01,64106,35,73,119,6,8,13,233,2010,1,1,64106,Kansas City,459946,8.8,165.14,40874,127.0
5,2010-01-01,64108,28,19,109,3,6,6,159,2010,1,1,64108,Kansas City,459946,8.8,165.14,40874,127.0
6,2010-01-01,64109,63,35,132,41,18,31,271,2010,1,1,64109,Kansas City,459946,8.8,165.14,40874,127.0
7,2010-01-01,64110,36,22,141,16,11,14,215,2010,1,1,64110,Kansas City,459946,8.8,165.14,40874,127.0
8,2010-01-01,64111,39,35,191,6,11,8,271,2010,1,1,64111,Kansas City,459946,8.8,165.14,40874,127.0
9,2010-01-01,64112,8,3,37,1,1,4,49,2010,1,1,64112,Kansas City,459946,8.8,165.14,40874,127.0
10,2010-01-01,64113,1,1,23,0,0,2,25,2010,1,1,64113,Kansas City,459946,8.8,165.14,40874,127.0
11,2010-01-01,64114,16,16,138,4,5,1,174,2010,1,1,64114,Kansas City,459946,8.8,165.14,40874,127.0
12,2010-01-01,64116,8,4,23,0,6,1,35,2010,1,1,64116,Kansas City,459946,8.8,165.14,40874,127.0
13,2010-01-01,64117,15,11,50,1,5,12,77,2010,1,1,64117,Kansas City,459946,8.8,165.14,40874,127.0
14,2010-01-01,64118,39,15,83,7,15,20,144,2010,1,1,64118,Kansas City,459946,8.8,165.14,40874,127.0
15,2010-01-01,64119,18,6,61,2,6,2,87,2010,1,1,64119,Kansas City,459946,8.8,165.14,40874,127.0
16,2010-01-01,64120,0,2,28,0,2,3,30,2010,1,1,64120,Kansas City,459946,8.8,165.14,40874,127.0
17,2010-01-01,64121,0,0,0,0,0,1,0,2010,1,1,64121,Kansas City,459946,8.8,165.14,40874,127.0
18,2010-01-01,64123,21,13,87,34,4,5,155,2010,1,1,64123,Kansas City,459946,8.8,165.14,40874,127.0
19,2010-01-01,64124,25,9,92,9,2,8,135,2010,1,1,64124,Kansas City,459946,8.8,165.14,40874,127.0
20,2010-01-01,64125,5,3,13,0,2,5,21,2010,1,1,64125,Kansas City,459946,8.8,165.14,40874,127.0
